county,FIPS,diversity,diversity_rank,pct_hisp,pct_white,pct_black,pct_aian,pct_asian,pct_nhpi,pct_other,pct_two,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two
Middlesex,023,0.7219271870863413,1,0.2243924083775699,0.3859738959778118,0.09119840771489014,0.001370542262055095,0.2641138048245868,2.2243796645357418e-4,0.0081711196739430135,0.024557383202689645,193687,333158,78719,1183,227973,192,7053,21197
Essex,013,0.7211215985883672,2,0.24354079061926903,0.27222111590685955,0.3752118722560806,0.0014333216012448362,0.05436549469277365,1.9566344960450513e-4,0.013983568901320785,0.039048172572847005,210353,235125,324081,1238,46957,169,12078,33727
Hudson,017,0.7157866909541324,3,0.40424554462002005,0.2849263437878525,0.09848190118285889,0.0014747797487494033,0.17027428971903308,3.214440425244256e-4,0.012706007002789527,0.027569689896172193,293019,206530,71385,1069,123424,233,9210,19984
Mercer,021,0.7119768617306768,4,0.2173207001600661,0.43522486704187535,0.18682294624877369,0.001102390664532452,0.12477410027366138,2.7366138276449634e-4,0.00485103526617442,0.029630298962152114,84177,168580,72364,427,48330,106,1879,11477
Union,039,0.7075043155964792,5,0.3398291459906665,0.36716231130886684,0.19511945006908898,9.594243453927644e-4,0.05555449339092197,1.3557083141419496e-4,0.010758762134023934,0.030480841929624834,195519,211245,112261,552,31963,78,6190,17537
Cumberland,011,0.66859666601562,6,0.34416679640873943,0.4269033162073797,0.17109735845139862,0.005870828792360787,0.013305049561471794,7.784524365561264e-5,0.0038598266645907937,0.03471897867040324,53054,65808,26375,905,2051,12,595,5352
Somerset,035,0.6619993265225144,7,0.16614209479356384,0.5136972617058672,0.08825547760169794,8.860294011194084e-4,0.19428366260232047,1.997909433896705e-4,0.005834474651162117,0.03070120830087937,57379,177411,30480,306,67098,69,2015,10603
Passaic,031,0.6529370497755851,8,0.4274419119358618,0.3883514781022594,0.0989452756821937,0.0013126814953884432,0.05763778385783354,9.921429907005674e-5,0.006704597056388065,0.019507057571005,224030,203542,51859,688,30209,52,3514,10224
Camden,007,0.6442119566682332,9,0.1819631890121016,0.5334899758350287,0.1817339560827913,0.001321909892356037,0.061755351156193586,1.8911716668099373e-4,0.004920866882527675,0.03462563397232012,95255,279274,95135,692,32328,99,2576,18126
Atlantic,001,0.6400971110165329,10,0.19565154042850794,0.5422206356953966,0.1421390428872198,0.001300385380317192,0.07854400547837426,2.9868795850422896e-4,0.004891925954526579,0.03495377621715343,53713,148858,39022,357,21563,82,1343,9596
Bergen,003,0.6366559208447427,11,0.2141635939782282,0.5356302812922451,0.05222070622308346,8.485642418585963e-4,0.16479515177895057,1.360213951191338e-4,0.006763402292692931,0.025442278797821984,204683,511919,49909,811,157500,130,6464,24316
Burlington,005,0.5540102282871889,12,0.08744424717446846,0.6376607630017754,0.16196899493352965,0.0013185813882994847,0.0562508119343524,5.737669423634868e-4,0.007004287013380678,0.047778547611830424,40387,294510,74807,609,25980,265,3235,22067
Morris,027,0.5138587613734116,13,0.1505267188313027,0.6699097754695308,0.030603689486240513,7.323993441786034e-4,0.11329609157937108,1.8260895176571074e-4,0.004588786239531893,0.03015993009807868,76661,341175,15586,373,57700,93,2337,15360
Salem,033,0.4806055698974533,14,0.100791214892731,0.6983512500578374,0.1395653716242269,0.0028070391905856223,0.010009716674121257,2.0050279932754445e-4,0.004272251954902294,0.04400265280626803,6535,45279,9049,182,649,13,277,2853
Monmouth,025,0.4635921182768542,15,0.12543212945627433,0.715994810562215,0.06087179447340413,7.488949138848535e-4,0.055946489749306653,1.5071121710960746e-4,0.007094303271365646,0.033760866356439795,80730,460825,39178,482,36008,97,4566,21729
Gloucester,015,0.4253699284276392,16,0.07322341826169226,0.7454828742879448,0.10425942956194963,0.0010949605351082059,0.031343658822206195,2.44794802410898e-4,0.0036487657710705473,0.040702097957617416,22135,225355,31517,331,9475,74,1103,12304
Warren,041,0.3922578314803371,17,0.11150941330998249,0.7685256129597198,0.0508336981903094,8.756567425569177e-4,0.026324430823117338,2.5539988324576766e-4,0.004560712200817279,0.03711507589025102,12225,84255,5573,96,2886,28,500,4069
Hunterdon,019,0.33047574142069747,18,0.0847557523633741,0.8117055844649352,0.02349802632089153,7.134714262448913e-4,0.04402584007382878,6.204099358651228e-5,0.0041489914460980095,0.03109029291104097,10929,104667,3030,92,5677,8,535,4009
Ocean,029,0.3199569789568777,19,0.10408973853983419,0.8169402208625157,0.027696479601524725,8.207410522747709e-4,0.01779423095935684,1.7419169560707376e-4,0.0061186794700178425,0.026365717818868883,66329,520578,17649,523,11339,111,3899,16801
Sussex,037,0.3158798099907364,20,0.09922272068561444,0.8199014013215828,0.0198168089251912,0.0013243563697381102,0.020232837104166523,7.627183281214248e-5,0.004617912786626081,0.034807690974268654,14310,118247,2858,191,2918,11,666,5020
Cape May,009,0.2855463624721243,21,0.07836200833482045,0.8402002876247862,0.03469342766866464,0.0010392282418147654,0.009374048686268541,2.309396092921701e-4,0.0033486243347364665,0.03275143549961685,7465,80040,3305,99,893,22,319,3120
