Municipality,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic
Lindenwold,68.7%,"4,480",6,95,98,67,17481,3.9020211945,1.5%,34.0%,5.4%,0.0%,19.5%,0.0%,39.5%,27.6%,72.4%
North Plainfield,68.4%,"7,869",7,43,98,85,22092,2.8074473856,6.2%,20.5%,3.2%,0.1%,24.0%,0.0%,46.0%,47.1%,52.9%
Camden,67.9%,"8,471",9,39,97,87,75550,8.9184250584,3.2%,45.4%,3.6%,0.6%,25.9%,0.1%,21.2%,48.5%,51.5%
Englewood,67.4%,"5,788",10,73,97,75,28509,4.9254406344,12.3%,30.8%,3.9%,0.3%,7.0%,0.0%,45.8%,24.5%,75.5%
Plainfield,67.4%,"8,574",11,37,96,87,51097,5.9592542724,1.0%,40.8%,1.8%,0.9%,33.2%,0.1%,22.0%,43.6%,56.4%
Bergenfield,65.5%,"9,536",15,33,95,89,27694,2.9041171731,28.4%,7.9%,2.2%,0.1%,12.1%,0.0%,49.4%,26.3%,73.7%
Bridgeton,65.1%,"4,006",17,109,94,62,24948,6.2283509145,0.4%,30.2%,2.8%,1.1%,18.1%,0.0%,47.4%,51.3%,48.7%
Union,64.9%,"6,463",18,61,94,79,58499,9.0507523392,10.4%,30.6%,1.8%,0.4%,7.8%,0.0%,49.0%,16.3%,83.7%
Rahway,64.8%,"7,549",19,50,94,83,29443,3.900131235,3.8%,29.3%,3.7%,0.1%,13.6%,0.0%,49.4%,32.5%,67.5%
Carteret,63.7%,"5,475",22,76,93,73,24040,4.3909268832,23.3%,15.4%,3.0%,0.2%,5.0%,0.0%,53.1%,34.4%,65.6%
Roselle,63.5%,"8,253",23,40,92,86,21746,2.6349962067,1.6%,51.1%,2.5%,0.0%,18.9%,0.0%,25.9%,30.9%,69.1%
Teaneck,61.5%,"6,784",27,57,91,80,40977,6.0405387471,8.5%,27.6%,2.3%,0.2%,7.1%,0.0%,54.4%,19.1%,80.9%
Hillside,61.4%,"7,977",28,42,90,86,22069,2.766719241,4.2%,55.1%,3.1%,0.1%,11.7%,0.1%,25.8%,17.3%,82.7%
Linden,61.2%,"3,951",29,112,90,61,42230,10.6875518607,3.9%,30.0%,2.9%,0.3%,9.2%,0.1%,53.7%,30.2%,69.8%
Woodbridge,59.9%,"4,370",33,100,89,65,101639,23.2569157392,24.6%,11.5%,2.6%,0.1%,4.1%,0.0%,57.0%,18.9%,81.1%
Leonia,59.1%,"6,034",34,68,88,76,9191,1.5231177819,41.0%,2.8%,5.5%,0.1%,1.9%,0.0%,48.7%,16.9%,83.1%
West Orange,58.3%,"3,967",36,111,88,61,47609,12.0015443691,8.1%,27.4%,3.2%,0.2%,3.5%,0.0%,57.7%,19.9%,80.1%
Winslow,58.3%,685,38,242,87,15,39317,57.4119178776,2.4%,35.7%,4.6%,0.3%,3.5%,0.0%,53.4%,10.7%,89.3%
Guttenberg,58.2%,"60,788",39,1,87,100,11733,0.1930137066,7.4%,3.3%,3.9%,0.6%,26.4%,0.0%,58.4%,65.8%,34.2%
Dover,57.4%,"6,842",43,56,85,81,18307,2.6756672085,2.7%,6.5%,2.4%,0.2%,31.7%,0.0%,56.6%,69.7%,30.3%
Westampton,57.2%,796,45,234,84,18,8730,10.9739369025,5.4%,22.3%,10.3%,0.0%,1.5%,0.0%,60.4%,12.1%,87.9%
West New York,56.7%,"53,653",48,3,83,99,53345,0.9942650289,6.2%,3.4%,3.6%,0.2%,26.9%,0.2%,59.5%,76.9%,23.1%
Woodbury,56.1%,"4,941",50,86,83,70,9980,2.0197342737,0.9%,27.3%,6.4%,0.0%,5.6%,0.0%,59.8%,11.2%,88.8%
Bloomfield,56.1%,"9,162",51,36,82,88,48892,5.3362398375,9.4%,18.7%,2.8%,0.0%,6.5%,0.0%,62.5%,28.2%,71.8%
Maplewood,56.0%,"6,377",52,63,82,78,24706,3.8739903344999997,2.8%,34.2%,4.0%,0.2%,2.3%,0.0%,56.6%,7.9%,92.1%
Red Bank,55.7%,"7,000",54,54,81,81,12220,1.7456407254,2.3%,13.4%,1.9%,0.0%,20.8%,0.0%,61.7%,36.7%,63.3%
Long Branch,53.4%,"6,001",59,69,80,76,30751,5.1243242193,3.2%,15.0%,2.7%,0.1%,14.0%,0.0%,65.0%,31.5%,68.5%
Little Ferry,52.8%,"7,408",61,52,79,82,10942,1.4770660905,26.2%,2.7%,2.5%,0.0%,5.3%,0.1%,63.2%,27.3%,72.7%
Ridgefield,52.7%,"4,470",63,96,78,66,11369,2.5432785378,29.9%,1.1%,3.1%,0.4%,3.8%,0.0%,61.7%,28.6%,71.4%
Haledon,52.5%,"6,948",65,55,77,81,8440,1.2147972408,4.8%,8.2%,4.9%,0.1%,15.7%,0.0%,66.3%,48.2%,51.8%
Clifton,52.4%,"7,649",66,47,77,84,86207,11.2710821652,9.8%,6.7%,2.1%,0.5%,14.4%,0.0%,66.4%,37.0%,63.0%
South Orange Village,52.2%,"5,799",67,72,77,75,16503,2.845773216,5.0%,26.6%,4.1%,0.1%,0.7%,0.0%,63.5%,6.6%,93.4%
Pemberton,51.7%,448,70,259,76,9,27573,61.5544863219,2.3%,19.5%,9.4%,0.1%,2.8%,0.1%,65.9%,13.1%,86.9%
Montclair,51.2%,"6,184",72,66,75,77,38572,6.237877932,3.3%,24.7%,4.6%,0.1%,2.2%,0.0%,65.1%,9.8%,90.2%
Kearny,50.9%,"4,804",74,91,74,68,42487,8.8443177966,4.9%,4.6%,4.0%,0.5%,18.9%,0.0%,67.1%,47.1%,52.9%
