Municipality,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic
Jersey City,73.8%,"17,975",1,9,100,97,265932,14.7946597227,25.4%,24.0%,3.2%,0.4%,11.6%,0.1%,35.4%,28.8%,71.2%
Atlantic City,72.3%,"3,632",2,121,100,58,39075,10.7591209011,18.2%,36.2%,4.2%,0.4%,9.0%,0.0%,32.0%,29.3%,70.7%
Paterson,72.1%,"17,578",3,10,99,97,147890,8.4131661042,3.9%,27.8%,5.5%,0.1%,32.8%,0.0%,30.0%,60.7%,39.3%
Pennsauken,69.8%,"3,423",4,128,99,55,35863,10.4784632667,7.4%,26.6%,3.6%,0.5%,18.0%,0.1%,43.8%,31.9%,68.1%
Hackensack,69.3%,"10,659",5,31,99,89,44673,4.1912691678,10.5%,25.3%,3.3%,0.4%,14.7%,0.0%,45.8%,38.2%,61.8%
Lindenwold,68.7%,"4,480",6,95,98,67,17481,3.9020211945,1.5%,34.0%,5.4%,0.0%,19.5%,0.0%,39.5%,27.6%,72.4%
North Plainfield,68.4%,"7,869",7,43,98,85,22092,2.8074473856,6.2%,20.5%,3.2%,0.1%,24.0%,0.0%,46.0%,47.1%,52.9%
Piscataway,68.3%,"3,071",8,139,98,51,57695,18.7852889367,38.0%,19.8%,3.1%,0.2%,2.4%,0.1%,36.3%,11.3%,88.7%
Camden,67.9%,"8,471",9,39,97,87,75550,8.9184250584,3.2%,45.4%,3.6%,0.6%,25.9%,0.1%,21.2%,48.5%,51.5%
Englewood,67.4%,"5,788",10,73,97,75,28509,4.9254406344,12.3%,30.8%,3.9%,0.3%,7.0%,0.0%,45.8%,24.5%,75.5%
Plainfield,67.4%,"8,574",11,37,96,87,51097,5.9592542724,1.0%,40.8%,1.8%,0.9%,33.2%,0.1%,22.0%,43.6%,56.4%
Franklin,67.2%,"1,429",12,197,96,31,65999,46.1699352972,22.5%,27.1%,2.2%,0.6%,2.5%,0.0%,45.0%,13.6%,86.4%
Elizabeth,66.4%,"10,501",13,32,96,89,129363,12.3187035114,1.8%,19.2%,3.6%,0.4%,28.3%,0.0%,46.6%,64.1%,35.9%
Pleasantville,65.5%,"3,595",14,125,95,56,20568,5.7209471748,1.9%,38.9%,4.8%,0.2%,12.0%,0.1%,42.1%,45.6%,54.4%
Bergenfield,65.5%,"9,536",15,33,95,89,27694,2.9041171731,28.4%,7.9%,2.2%,0.1%,12.1%,0.0%,49.4%,26.3%,73.7%
Harrison,65.3%,"13,126",16,17,95,94,15898,1.2111520707,22.4%,3.6%,2.4%,0.4%,21.1%,0.0%,50.1%,43.5%,56.5%
Bridgeton,65.1%,"4,006",17,109,94,62,24948,6.2283509145,0.4%,30.2%,2.8%,1.1%,18.1%,0.0%,47.4%,51.3%,48.7%
Union,64.9%,"6,463",18,61,94,79,58499,9.0507523392,10.4%,30.6%,1.8%,0.4%,7.8%,0.0%,49.0%,16.3%,83.7%
Rahway,64.8%,"7,549",19,50,94,83,29443,3.900131235,3.8%,29.3%,3.7%,0.1%,13.6%,0.0%,49.4%,32.5%,67.5%
Newark,64.5%,"11,713",20,21,93,93,282803,24.1433793315,1.7%,50.1%,2.7%,0.6%,19.6%,0.0%,25.3%,36.4%,63.6%
North Brunswick,64.4%,"3,540",21,126,93,56,42591,12.0326516739,25.0%,18.8%,1.6%,0.3%,3.7%,0.0%,50.6%,19.5%,80.5%
Carteret,63.7%,"5,475",22,76,93,73,24040,4.3909268832,23.3%,15.4%,3.0%,0.2%,5.0%,0.0%,53.1%,34.4%,65.6%
Roselle,63.5%,"8,253",23,40,92,86,21746,2.6349962067,1.6%,51.1%,2.5%,0.0%,18.9%,0.0%,25.9%,30.9%,69.1%
Asbury Park,62.6%,"11,078",24,27,92,91,15830,1.4289437448,0.7%,46.8%,2.0%,1.0%,12.4%,0.0%,37.3%,30.2%,69.8%
Edison,62.0%,"3,403",25,131,92,54,102304,30.062780747999998,49.0%,7.1%,3.3%,0.3%,4.0%,0.0%,36.4%,9.6%,90.4%
Burlington,61.8%,"1,689",26,185,91,35,22713,13.4478807606,7.7%,29.4%,6.2%,0.1%,3.4%,0.0%,53.3%,10.3%,89.7%
Teaneck,61.5%,"6,784",27,57,91,80,40977,6.0405387471,8.5%,27.6%,2.3%,0.2%,7.1%,0.0%,54.4%,19.1%,80.9%
Hillside,61.4%,"7,977",28,42,90,86,22069,2.766719241,4.2%,55.1%,3.1%,0.1%,11.7%,0.1%,25.8%,17.3%,82.7%
Linden,61.2%,"3,951",29,112,90,61,42230,10.6875518607,3.9%,30.0%,2.9%,0.3%,9.2%,0.1%,53.7%,30.2%,69.8%
South Brunswick,61.1%,"1,123",30,218,90,23,45602,40.6170130509,42.3%,9.0%,1.9%,0.2%,1.7%,0.0%,44.8%,6.8%,93.2%
Passaic,60.3%,"22,681",31,6,89,98,71057,3.1329254385,3.4%,9.9%,4.0%,1.1%,24.6%,0.1%,56.9%,73.2%,26.8%
Burlington,60.1%,"3,211",32,137,89,52,9835,3.0625185591,3.3%,31.1%,9.7%,0.2%,1.4%,0.4%,54.0%,10.8%,89.2%
Woodbridge,59.9%,"4,370",33,100,89,65,101639,23.2569157392,24.6%,11.5%,2.6%,0.1%,4.1%,0.0%,57.0%,18.9%,81.1%
Leonia,59.1%,"6,034",34,68,88,76,9191,1.5231177819,41.0%,2.8%,5.5%,0.1%,1.9%,0.0%,48.7%,16.9%,83.1%
Belleville,58.6%,"11,039",35,28,88,90,36383,3.295815237,11.1%,10.5%,4.1%,0.0%,13.3%,0.0%,60.9%,44.4%,55.6%
West Orange,58.3%,"3,967",36,111,88,61,47609,12.0015443691,8.1%,27.4%,3.2%,0.2%,3.5%,0.0%,57.7%,19.9%,80.1%
Trenton,58.3%,"11,221",37,24,87,92,84867,7.5634202358,1.4%,50.5%,1.3%,0.2%,6.9%,0.0%,39.6%,36.0%,64.0%
Winslow,58.3%,685,38,242,87,15,39317,57.4119178776,2.4%,35.7%,4.6%,0.3%,3.5%,0.0%,53.4%,10.7%,89.3%
Guttenberg,58.2%,"60,788",39,1,87,100,11733,0.1930137066,7.4%,3.3%,3.9%,0.6%,26.4%,0.0%,58.4%,65.8%,34.2%
Palisades Park,58.0%,"16,721",40,12,86,96,20716,1.2389393016,56.7%,2.0%,1.7%,0.5%,9.1%,0.1%,29.8%,21.1%,78.9%
Plainsboro,57.7%,"2,001",41,179,86,37,23487,11.7401836266,54.0%,5.4%,1.9%,1.0%,2.0%,0.0%,35.7%,3.2%,96.8%
Neptune,57.7%,"3,412",42,130,86,54,27728,8.127420444,2.9%,35.2%,3.8%,0.0%,3.5%,0.2%,54.4%,8.6%,91.4%
