Town,County,Best Towns Rank,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic,"Med. Household Income, 2013-17",twp_identifier
Montgomery,Somerset,1,0.4965658257152542,714,108,398,0.7102473498233216,0.15547703180212014,23059,32.299868858399996,0.3223036558393686,0.023461555141159635,0.018777917515937378,0.0030356910533847954,0.0010408083611605013,0,0.6313803720889891,0.046185871026497245,0.9538141289735027,180660,Montgomery township Somerset
Glen Rock,Bergen,2,0.2701743393453957,4425,272,130,0.3321554770318021,0.657243816254417,11962,2.7034559838,0.11026584183246949,0.008527002173549573,0.02925932118374854,0.002675137936799866,0.0010867747868249457,0.0015883631499749205,0.8465975589366327,0.07047316502257148,0.9295268349774285,162443,Glen Rock Bergen
Bedminster,Somerset,3,0.20458508809782927,316,338,450,0.21201413427561838,0.038869257950530034,8244,26.1205287057,0.07035419699175158,0.013585638039786511,0.014070839398350316,0,0.013221737020863659,0,0.888767588549248,0.07083939835031539,0.9291606016496846,104452,Bedminster township Somerset
Bernards Twp.,Somerset,5,0.39240522900045627,1117,179,359,0.5406360424028268,0.22968197879858657,27032,24.2013472272,0.19192068659366676,0.0234166913287955,0.01882953536549275,0,0.011023971589227582,0,0.7548091151228175,0.05423202130807931,0.9457679786919206,137855,Bernards township Somerset
West Windsor,Mercer,6,0.5528086026122757,1107,73,361,0.8091872791519434,0.22614840989399293,28289,25.5504265731,0.46647106649227615,0.026900915550213865,0.021951995475273073,0,0.0068224398175969455,0,0.47785358266463995,0.030188412457138818,0.9698115875428612,175684,West Windsor township Mercer
North Caldwell,Essex,7,0.16733408976560116,2163,374,277,0.14840989399293286,0.38515901060070673,6637,3.0677525307,0.07699261714630104,0,0.013861684496007233,0,0,0,0.9091456983576918,0.02335392496609914,0.9766460750339009,187470,North Caldwell Essex
East Amwell,Hunterdon,11,0.0883039060893408,138,482,502,0.014134275618374558,0,3933,28.4547858309,0.01398423595219934,0.02008644800406814,0.005847953216374269,0.0033053648614289346,0.002288329519450801,0,0.9544876684464785,0.0836511568777015,0.9163488431222985,107356,East Amwell township Hunterdon
Ho-Ho-Kus,Bergen,12,0.17945607970884148,2393,359,255,0.1696113074204947,0.4275618374558304,4162,1.7394071409,0.06967803940413263,2.402691013935608e-4,0.0177799135031235,0,0.00937049495434887,0,0.9029312830370014,0.0857760691975012,0.9142239308024988,176518,Ho-Ho-Kus Bergen
Bethlehem,Hunterdon,13,0.058320798448512345,189,504,484,0.01060070671378092,0.0035335689045936395,3915,20.6822325996,0.022988505747126436,0,0.0020434227330779057,0,0.004853128991060026,0,0.9701149425287356,0.0227330779054917,0.9772669220945083,127083,Bethlehem township Hunterdon
Harding,Morris,14,0.12922972083298112,194,427,482,0.0812720848056537,0.007067137809187279,3887,20.0459907648,0.05171083097504502,0,0.016722408026755852,0,0,0,0.9315667609981991,0.025984049395420632,0.9740159506045794,183587,Harding township Morris
Plainsboro,Middlesex,16,0.5774468672655113,2001,53,288,0.8586572438162544,0.3710247349823322,23487,11.7401836266,0.5399582747903096,0.054285349342189294,0.019031804828202836,0.009750074509303019,0.020351683910248223,0,0.3566228126197471,0.03167709796908928,0.9683229020309108,101993,Plainsboro township Middlesex
Haddonfield,Camden,17,0.11059363127414346,4087,451,147,0.053003533568904596,0.6360424028268551,11428,2.7962709489,0.02065103255162758,0.011025551277563878,0.022926146307315366,0,0.002887644382219111,0,0.942509625481274,0.03806440322016101,0.961935596779839,138920,Haddonfield Camden
