GEOID,Town,County,Best Towns Rank,Total Population,"Population (ACS, 2012-17)",pct_white,pct_black,pct_natam,pct_asian,pct_pacis,pct_other,pct_multi,racial_diversity,racial_diversity_rank,state_racial_diversity,more_racial_diverse_than_state,pct_not_hispanic,pct_hispanic,econ_diversity,econ_diversity_rank,state_econ_diversity,more_econ_diverse_than_state,mhi,density,density_rank
3403547580,Montgomery,Somerset,1,"23,584",23059,0.6313803720889891,0.023461555141159635,0.0030356910533847954,0.3223036558393686,0,0.0010408083611605013,0.018777917515937378,0.4965658257152542,108,0.5069469017864137,0,0.9538141289735027,0.046185871026497245,0.744544,523,0.883128,0,180660,713.7692776896818,399
3400326640,Glen Rock,Bergen,2,"12,045",11962,0.8465975589366327,0.008527002173549573,0.002675137936799866,0.11026584183246949,0.0015883631499749205,0.0010867747868249457,0.02925932118374854,0.2701743393453957,272,0.5069469017864137,0,0.9295268349774285,0.07047316502257148,0.770441,515,0.883128,0,162443,4404.315257548683,132
3403504450,Bedminster,Somerset,3,"8,210",8244,0.888767588549248,0.013585638039786511,0,0.07035419699175158,0,0.013221737020863659,0.014070839398350316,0.20458508809782927,338,0.5069469017864137,0,0.9291606016496846,0.07083939835031539,0.848267,384,0.883128,0,104452,316.11552127337796,450
3402745360,Mendham Twp.,Morris,4,"5,845",5877,0.9178152118427769,0.005955419431682831,0,0.039816232771822356,0,0.0035732516590096988,0.03283988429470818,0.15490321136934293,389,0.5069469017864137,0,0.9317679087970053,0.06823209120299473,0.722783,529,0.883128,0,185882,330.49302187789186,447
3403505560,Bernards Twp.,Somerset,5,"27,061",27032,0.7548091151228175,0.0234166913287955,0,0.19192068659366676,0,0.011023971589227582,0.01882953536549275,0.39240522900045627,179,0.5069469017864137,0,0.9457679786919206,0.05423202130807931,0.804079,497,0.883128,0,137855,1129.6365841115967,355
3402180240,West Windsor,Mercer,6,"28,491",28289,0.47785358266463995,0.026900915550213865,0,0.46647106649227615,0,0.0068224398175969455,0.021951995475273073,0.5528086026122757,73,0.5069469017864137,1,0.9698115875428612,0.030188412457138818,0.7590760000000001,518,0.883128,0,175684,1106.600962301576,362
3401352620,North Caldwell,Essex,7,"6,730",6637,0.9091456983576918,0,0,0.07699261714630104,0,0,0.013861684496007233,0.16733408976560116,374,0.5069469017864137,0,0.9766460750339009,0.02335392496609914,0.736408,526,0.883128,0,187470,2204.7566342203236,270
3401961920,Raritan Twp.,Hunterdon,8,"22,106",22103,0.8985658055467584,0.02501922815907343,0,0.05754874903859205,0,0.003121748178980229,0.01574446907659594,0.18838403919032576,351,0.5069469017864137,0,0.9465230964122517,0.05347690358774827,0.849524,372,0.883128,0,120644,588.9181495048014,413
3401913750,Clinton Twp.,Hunterdon,9,"12,907",13067,0.7611540521925461,0.12550700237238846,0.0026785030994107293,0.05219254610851764,0,0.03405525369250784,0.024412642534629218,0.40040552751863623,175,0.5069469017864137,0,0.9028086018213821,0.0971913981786179,0.831292,447,0.883128,0,135326,437.36843763354483,430
3401974420,Union Twp.,Hunterdon,10,"5,543",5669,0.8355971070735579,0.09207973187511025,0,0.04074792732404304,0,0.01993296877756218,0.011642264949726583,0.2911055384694563,257,0.5069469017864137,0,0.9409066854824484,0.0590933145175516,0.85535,328,0.883128,0,108333,302.5608110412756,453
3401918820,East Amwell,Hunterdon,11,"3,925",3933,0.9544876684464785,0.02008644800406814,0.0033053648614289346,0.01398423595219934,0,0.002288329519450801,0.005847953216374269,0.0883039060893408,482,0.5069469017864137,0,0.9163488431222985,0.0836511568777015,0.858201,307,0.883128,0,107356,138.20034535289224,502
3400332310,Ho-Ho-Kus,Bergen,12,"4,183",4162,0.9029312830370014,2.402691013935608e-4,0,0.06967803940413263,0,0.00937049495434887,0.0177799135031235,0.17945607970884148,359,0.5069469017864137,0,0.9142239308024988,0.0857760691975012,0.754483,520,0.883128,0,176518,2398.932342981801,256
3401905650,Bethlehem,Hunterdon,13,"3,888",3915,0.9701149425287356,0,0,0.022988505747126436,0,0.004853128991060026,0.0020434227330779057,0.058320798448512345,504,0.5069469017864137,0,0.9772669220945083,0.0227330779054917,0.806214,492,0.883128,0,127083,189.02871457694368,484
3402729700,Harding,Morris,14,"3,873",3887,0.9315667609981991,0,0,0.05171083097504502,0,0,0.016722408026755852,0.12922972083298112,427,0.5069469017864137,0,0.9740159506045794,0.025984049395420632,0.720414,530,0.883128,0,183587,194.9016728716335,481
3402712100,Chatham Borough,Morris,15,"8,928",9003,0.8814839497945129,0.01577252027102077,0,0.0846384538487171,0,0.003443296678884816,0.014661779406864379,0.215346781921669,328,0.5069469017864137,0,0.9019215816949906,0.09807841830500943,0.756171,519,0.883128,0,163026,3851.0725795730013,163
3402359280,Plainsboro,Middlesex,16,"23,504",23487,0.3566228126197471,0.054285349342189294,0.009750074509303019,0.5399582747903096,0,0.020351683910248223,0.019031804828202836,0.5774468672655113,53,0.5069469017864137,1,0.9683229020309108,0.03167709796908928,0.853376,346,0.883128,0,101993,1991.1170398332938,289
3400728770,Haddonfield,Camden,17,"11,435",11428,0.942509625481274,0.011025551277563878,0,0.02065103255162758,0,0.002887644382219111,0.022926146307315366,0.11059363127414346,451,0.5069469017864137,0,0.961935596779839,0.03806440322016101,0.8135669999999999,486,0.883128,0,138920,4046.5111871525837,149
3401375815,Verona,Essex,18,"13,608",13585,0.8906882591093117,0.01980125138019875,0,0.06359955833640044,0,0.005815237394184763,0.020095693779904306,0.20179977781357017,341,0.5069469017864137,0,0.9448656606551343,0.05513433934486566,0.856884,318,0.883128,0,113423,4929.462289694242,113
3403951810,New Providence,Union,19,"13,308",12716,0.8241585404215162,0.009436929852154765,0.001966027052532243,0.1285781692356087,0.0014155394778232148,0.00542623466498899,0.029018559295375904,0.3032639091806574,244,0.5069469017864137,0,0.9223026108839257,0.07769738911607424,0.821768,474,0.883128,0,129638,3493.103404460745,187
3403527510,Green Brook,Somerset,20,"7,212",7210,0.6901525658807213,0.058529819694868236,0,0.2461858529819695,0,0,0.005131761442441054,0.4596298868307809,131,0.5069469017864137,0,0.8821081830790569,0.11789181692094314,0.831327,446,0.883128,0,136094,1612.0558073064444,316
3403905320,Berkeley Heights,Union,21,"13,759",13576,0.8499558043606364,0.016573364761343547,7.365939893930466e-4,0.12323217442545668,0,0.0024307601649970535,0.007071302298173247,0.26205783091864765,282,0.5069469017864137,0,0.9445344725987036,0.055465527401296406,0.778505,511,0.883128,0,147614,2185.7280750841032,275
3400353430,Northvale,Bergen,22,"4,985",4872,0.687192118226601,0.021551724137931036,8.210180623973727e-4,0.26087848932676516,0,0.01990968801313629,0.00964696223316913,0.4587547960127373,133,0.5069469017864137,0,0.9014778325123153,0.09852216748768473,0.86362,236,0.883128,0,92650,3761.1042676157613,170
3402133180,Hopewell Twp.,Mercer,23,"18,265",18503,0.8399178511592714,0.05528833162189915,0,0.06631357077230719,0,0.011511646759984867,0.02696859968653732,0.2862238906417057,261,0.5069469017864137,0,0.9462249364967843,0.053775063503215696,0.821111,476,0.883128,0,129320,318.84363062764584,449
3400300700,Allendale,Bergen,24,"6,906",6820,0.8511730205278593,0.010850439882697948,0,0.11744868035190616,0,0,0.020527859237536656,0.2611711715585522,284,0.5069469017864137,0,0.9819648093841642,0.018035190615835778,0.79451,503,0.883128,0,151875,2202.6586593510638,271
3403915640,Cranford,Union,25,"24,439",23972,0.8932504588686802,0.028074420156849657,0,0.031077924244952444,0,0.03424828967128316,0.013348907058234607,0.1989984686233165,345,0.5069469017864137,0,0.9003003504088103,0.09969964959118972,0.8476589999999999,389,0.883128,0,122848,4963.5317016421,111
3400547880,Moorestown,Burlington,26,"20,540",20568,0.8352294826915597,0.06310774017891871,5.348113574484637e-4,0.07224815246985608,0,0.005396732788798133,0.023483080513418905,0.29260846301861054,255,0.5069469017864137,0,0.9788020225593155,0.021197977440684558,0.821781,473,0.883128,0,133902,1399.833579771054,336
3403531890,Hillsborough,Somerset,27,"40,003",39712,0.7385676873489122,0.05466861402095085,0.0018130539887187753,0.1687147461724416,0,0.010676873489121675,0.025559024979854957,0.4222939017188868,155,0.5069469017864137,0,0.9225423045930701,0.0774576954069299,0.844357,405,0.883128,0,119542,728.1923602327919,396
3400330150,Harrington Park,Bergen,28,"4,846",4819,0.7821124714671094,0.006640381821954763,0,0.18717576260634985,0,0.004150238638721726,0.019921145465864286,0.3528071446801696,208,0.5069469017864137,0,0.9263332641626894,0.07366673583731065,0.838559,433,0.883128,0,127188,2630.557319715805,238
3402368790,South Brunswick,Middlesex,29,"46,561",45602,0.44807245296258935,0.08993026621639402,0.0022586728652252094,0.42344634007280385,3.2893294153765187e-4,0.017170299548265426,0.01879303539318451,0.6111836140274252,36,0.5069469017864137,1,0.9315819481601684,0.06841805183983159,0.851022,360,0.883128,0,113815,1121.9152655486776,359
3403576940,Warren Twp.,Somerset,30,"16,029",15998,0.7886610826353294,0.007938492311538942,0.001375171896487061,0.18108513564195525,0,0,0.020940117514689337,0.3447184711065505,213,0.5069469017864137,0,0.9433054131766471,0.05669458682335292,0.789469,505,0.883128,0,154647,818.2778175699775,389
3400317530,Demarest,Bergen,31,"5,032",5031,0.6372490558537071,0.0027827469687934803,0,0.32558139534883723,0,0.006161796859471278,0.028225004969191017,0.48706803348952254,113,0.5069469017864137,0,0.9210892466706421,0.07891075332935799,0.799802,502,0.883128,0,149271,2434.3439667448743,254
3401962250,Readington Twp.,Hunterdon,32,"15,963",15962,0.9327151985966671,0.0073299085327653175,0.0011276782358100488,0.04134820197970179,0,0.008896128304723718,0.008582884350332038,0.12812487827993824,429,0.5069469017864137,0,0.9569602806665831,0.04303971933341687,0.8290299999999999,461,0.883128,0,133320,334.37937188699135,446
3402729550,Hanover Twp.,Morris,33,"14,661",14436,0.8352729287891383,0.013022998060404543,0,0.13778054862842892,0,0.005126073704627321,0.008797450817400942,0.283062384600673,263,0.5069469017864137,0,0.9129952895538931,0.08700471044610696,0.849064,375,0.883128,0,116020,1371.5969264021599,339
3402745330,Mendham Borough,Morris,34,"4,978",4992,0.9555288461538461,0.006209935897435897,0,0.01842948717948718,0,0.0030048076923076925,0.016826923076923076,0.08629424065684588,485,0.5069469017864137,0,0.9453125,0.0546875,0.815474,484,0.883128,0,145284,838.938586369931,388
3401900550,Alexandria,Hunterdon,35,"4,805",4819,0.9713633533928201,0.0010375596596804316,0,0.02552396762813862,0,0,0.002075119319360863,0.055796380111736155,507,0.5069469017864137,0,1,0,0.802991,500,0.883128,0,138039,175.7376890849727,489
3402163850,Robbinsville,Mercer,36,"14,757",14281,0.784678944051537,0.03396120719837546,0,0.1483089419508438,0,0.015895245430992227,0.017155661368251522,0.36058307336092144,203,0.5069469017864137,0,0.950913801554513,0.04908619844548701,0.829411,458,0.883128,0,137313,702.9448748326677,400
3402544070,Marlboro,Monmouth,37,"40,306",40466,0.7571541541046805,0.02406958928483171,0.001779271487174418,0.19379231947808037,0,0.00820441852419315,0.015000247121039886,0.38828729300095344,181,0.5069469017864137,0,0.9499332773192309,0.05006672268076904,0.8098719999999999,489,0.883128,0,143208,1332.8062656048305,342
3400342750,Mahwah,Bergen,38,"26,759",26581,0.8009480455964787,0.03284300816372597,0.0015424551371280239,0.1319363455099507,8.652797110718182e-4,0.02080433392272676,0.011060531958918023,0.3394380822494064,216,0.5069469017864137,0,0.9124562657537338,0.08754373424626613,0.857506,311,0.883128,0,107215,1034.3536955179188,367
3402712610,Chester Twp.,Morris,39,"7,915",7931,0.9049300214348758,0.008195687807338294,0,0.043878451645441935,0,0.005547850208044383,0.03744798890429958,0.17767603797353104,362,0.5069469017864137,0,0.9311562224183584,0.06884377758164166,0.783071,510,0.883128,0,153056,269.2712071120745,460
3402522440,Fair Haven,Monmouth,40,"5,950",6015,0.9502909393183707,0.0314214463840399,0,0.011305070656691604,0,0,0.006982543640897756,0.09578326281829375,475,0.5069469017864137,0,0.9730673316708229,0.026932668329177057,0.783214,509,0.883128,0,158264,3766.1402481522687,169
