GEOID,municipality,county,year,population,violent_crime,murder_manslaughter,rape,robbery,assault,property_crime,burglary,theft,vehicle_theft,arson,violent_per1k,violent_per1k_pct_chg,property_per1k,property_per1k_pct_chg,state_violent_crime_per1k,state_property_crime_per1k
3402500070,Aberdeen Township,Monmouth,2006,18347,29,0,4,12,13,243,40,189,14,4,1.5806398866299667,NA,13.244672153485583,NA,3.066472880888504,14.491877369229352
3402500070,Aberdeen Township,Monmouth,2007,18301,25,0,1,5,19,251,38,198,15,2,1.366045571280258,-0.13576420357658991,13.71509753565379,0.03551808430716097,3.066472880888504,14.491877369229352
3402500070,Aberdeen Township,Monmouth,2008,18527,18,0,1,3,14,223,45,160,18,0,0.9715550277972689,-0.2887828574512873,12.03648728882172,-0.12239141883375981,3.066472880888504,14.491877369229352
3402500070,Aberdeen Township,Monmouth,2009,18493,20,1,1,6,12,260,40,204,16,1,1.0814902936246147,0.11315392611017971,14.059373817119992,0.1680628641694264,3.066472880888504,14.491877369229352
3402500070,Aberdeen Township,Monmouth,2010,18575,21,0,3,10,8,272,56,208,8,1,1.1305518169582773,0.0453647375504711,14.643337819650068,0.0415355626876488,3.066472880888504,14.491877369229352
3402500070,Aberdeen Township,Monmouth,2011,18271,18,1,2,4,11,291,62,225,4,2,0.9851677521755788,-0.12859566682564882,15.926878660171857,0.08765357026725096,3.066472880888504,14.491877369229352
3402500070,Aberdeen Township,Monmouth,2012,18319,24,0,3,13,8,299,79,216,4,2,1.3101151809596594,0.3298396928507743,16.321851629455757,0.024799144748405944,3.066472880888504,14.491877369229352
3402500070,Aberdeen Township,Monmouth,2013,18150,19,0,NA,0,13,6,237,42,185,10,1.046831955922865,-0.20096189164370992,0.3305785123966942,-0.9797462616434949,3.066472880888504,14.491877369229352
3402500070,Aberdeen Township,Monmouth,2014,18215,14,0,NA,2,7,5,227,32,188,7,0.7685973099094153,-0.26578730658653216,0.2744990392533626,-0.16964040625857812,3.066472880888504,14.491877369229352
3402500070,Aberdeen Township,Monmouth,2015,18312,17,1,2,NA,4,10,185,30,149,6,0.928352992573176,0.20785355426574292,0.54608999563128,0.9894058540847532,3.066472880888504,14.491877369229352
3402500070,Aberdeen Township,Monmouth,2016,18562,18,0,2,NA,5,11,147,33,106,8,0.9697230901842474,0.04456289573258454,0.5926085551125957,0.08518478612218527,3.066472880888504,14.491877369229352
